date,precipitation_mm,precipitation_efficiency_pct,sp_kg,gmh_kg,grid_area_m2
2025-04-07,0.5297112900273534,9.092559600668823,258103843841.02057,2838626912294.698,487253809198.0115
2025-04-08,0.5763895809520361,10.178092430133091,280848018900.9252,2759338459822.306,487253809198.0115
2025-04-09,0.014190651974806269,0.43449810196138905,6914449229.727638,1591364656948.9683,487253809198.0115
2025-04-10,0.054072645427287486,0.780303812191816,26347102457.859264,3376518485005.4995,487253809198.0115
2025-04-11,0.04136523546403755,0.8169292905448248,20155368548.22497,2467210905705.5596,487253809198.0115
2025-04-12,0.017096163606746092,0.27608530914809737,8330170840.059448,3017245236902.84,487253809198.0115
2025-04-13,0.0017550491278829636,0.06633100317896234,855154372.890622,1289222734327.4138,487253809198.0115
2025-04-14,0.04259805868852201,1.600870007933112,20756066360.4228,1296549142501.6462,487253809198.0115
2025-04-15,0.030441658042187434,0.6131697134977321,14832813839.359108,2419038891328.733,487253809198.0115
2025-04-16,0.038621426401862974,0.6785948064108002,18818437130.968384,2773147827420.3423,487253809198.0115
2025-04-17,1.0328604278380549,6.355261355035437,503265177833.9801,7918874609857.393,487253809198.0115
2025-04-18,1.1286217114375525,13.68575459726069,549925228041.5264,4018230957842.8228,487253809198.0115
2025-04-19,0.2999696032508212,3.2986523806967982,146161331827.57886,4430940728489.376,487253809198.0115
2025-04-20,1.7504940029429334,9.91153174727001,852934870912.2195,8605479886064.516,487253809198.0115
2025-04-21,0.018063599339748125,0.5939371233791197,8801557586.11896,1481900564834.8372,487253809198.0115
2025-04-22,0.0015726119423234493,0.14749497321723343,766261159.2873842,519516796114.00726,487253809198.0115
2025-04-23,5.518188791149291e-06,0.00029643810555862266,2688758.5083612623,907021890216.9923,487253809198.0115
2025-04-24,0.0002438095343542521,0.012197028593780364,118797124.33290279,973984142281.023,487253809198.0115
2025-04-25,0.03783961323974814,0.6575731966935803,18437495689.64679,2803869710984.9507,487253809198.0115
2025-04-26,0.033392000473169536,0.6966101639405925,16270379427.29366,2335650593332.6016,487253809198.0115
2025-04-27,0.0023658075287500725,0.14157984890089342,1152748730.212807,814203955691.2767,487253809198.0115
2025-04-28,0.003613060108306623,0.20846035675435587,1760477300.6337821,844514193510.7987,487253809198.0115
2025-04-29,0.11592574333803707,1.306949738587939,56485260025.569565,4321915247222.716,487253809198.0115
2025-04-30,0.04013368268435493,0.6680062645617733,19555289765.096214,2927411134074.4556,487253809198.0115
2025-05-01,1.192309711933514,9.842396311573319,580957448883.3884,5902601668256.962,487253809198.0115
2025-05-02,0.34235311995382783,3.5567364494289433,166812861788.32635,4690054047021.37,487253809198.0115
2025-05-03,0.47428610425658146,4.206518849284838,231097710948.70453,5493799486670.411,487253809198.0115
2025-05-04,6.341198165714662,33.09064767489873,3089772961123.912,9337299745473.682,487253809198.0115
2025-05-05,0.31902205231639563,4.3293073491048695,155444710209.3311,3590521477794.1543,487253809198.0115
2025-05-06,2.6365506318467338,24.068356546467797,1284669338510.745,5337586453111.106,487253809198.0115
2025-05-07,0.7318887878092437,7.5873327641036745,356615599769.36914,4700144449397.927,487253809198.0115
2025-05-08,1.9403475796334095,19.255647671942675,945441749344.5208,4909945203879.691,487253809198.0115
2025-05-09,0.3301900386063869,12.13898862634565,160886354070.2005,1325368686160.7524,487253809198.0115
2025-05-10,0.0,0.0,0.0,530030247481.89514,487253809198.0115
2025-05-11,0.40765058818093985,4.660604274388885,198629301912.9728,4261878722561.524,487253809198.0115
2025-05-12,0.23199435415055988,3.866438588139635,113040132772.2928,2923624162014.245,487253809198.0115
2025-05-13,0.5613718967393717,8.612870568841426,273530595062.97165,3175835429972.8677,487253809198.0115
2025-05-14,9.620702493079961e-05,0.01281857807127229,46877239.36914016,365697654673.5454,487253809198.0115
2025-05-15,0.004751624603776428,0.17656031698863778,2315247188.0690565,1311306655740.797,487253809198.0115
2025-05-16,0.08239460623343531,1.1278795674106796,40147085744.61157,3559518844443.5537,487253809198.0115
2025-05-17,0.2037260365561539,2.236360299662102,99266287344.79932,4438743048684.854,487253809198.0115
2025-05-18,0.24453138833745774,4.771857819164631,119148850435.90448,2496906968966.709,487253809198.0115
2025-05-19,0.00804197701016911,0.3943651734493915,3918483931.6877346,993618147721.807,487253809198.0115
2025-05-20,0.5092471786835023,9.225432361838394,248132627636.87692,2689658521190.766,487253809198.0115
2025-05-21,4.523829666098707,22.478275425865192,2204253236969.5635,9806149249480.162,487253809198.0115
2025-05-22,2.66589576893415,19.6848334672453,1298967868338.0264,6598825793977.134,487253809198.0115
2025-05-23,0.1101441695848164,3.9985975416390325,53668166191.15355,1342174740825.6262,487253809198.0115
2025-05-24,0.00788844295556294,0.5428135565070064,3843673878.7392626,708102042158.494,487253809198.0115
2025-05-25,0.2895414336153118,10.685817399645412,141080166449.71384,1320256197288.1484,487253809198.0115
2025-05-26,0.13222780682454247,9.35412911099589,64428502557.157135,688770721385.7104,487253809198.0115
2025-05-27,0.0,0.0,0.0,305732526666.49884,487253809198.0115
2025-05-28,0.5757630903500625,9.77195893291119,280542758968.68677,2870895803950.2275,487253809198.0115
2025-05-29,1.8566595746753742,10.457158456564983,904664450144.5359,8651149869270.551,487253809198.0115
2025-05-30,2.025943654914559,19.38735000562524,987148763077.6604,5091715798142.806,487253809198.0115
2025-05-31,0.23806580217767764,3.020473820811295,115998468950.85368,3840406367756.4556,487253809198.0115
2025-06-01,0.31026487454605994,6.113682732931353,151177741982.91086,2472777024698.909,487253809198.0115
2025-06-02,0.0009193417478096898,0.03762423885610317,447952768.57502896,1190596227842.0015,487253809198.0115
2025-06-03,0.00011034309775388953,0.006777050327952718,53765094.69929122,793340643753.6837,487253809198.0115
2025-06-04,0.0,0.0,0.0,1288371088866.7283,487253809198.0115
2025-06-05,0.08751583528820754,1.8845960670001338,42642424109.324875,2262682431318.151,487253809198.0115
2025-06-06,0.37226641977734687,4.007456657831734,181388231073.01822,4526268068764.585,487253809198.0115
2025-06-07,0.17807375306067708,3.360294281484503,86767114497.00096,2582128445567.844,487253809198.0115
2025-06-08,0.657494972709716,11.105870168933164,320366929981.35175,2884663021521.0444,487253809198.0115
2025-06-09,0.0,0.0,0.0,960690108815.4691,487253809198.0115
2025-06-10,0.05038075110103063,1.7784774605421594,24548212884.234085,1380293730388.3904,487253809198.0115
2025-06-11,1.3044499596997383,13.113907196049999,635598211771.89,4846749349906.462,487253809198.0115
2025-06-12,4.78887211170463,34.09062110677389,2333396178190.206,6844686610085.126,487253809198.0115
2025-06-13,3.7001257966420074,26.556383075271405,1802900388925.6448,6788953088285.797,487253809198.0115
2025-06-14,1.4334627557791202,20.73307988454039,698460188096.8551,3368820223461.6455,487253809198.0115
2025-06-15,0.28148708613125817,5.297303872024301,137155654957.5043,2589159660668.8887,487253809198.0115
2025-06-16,0.30815189083810396,6.171027142228393,150148182622.43597,2433114928225.9775,487253809198.0115
2025-06-17,1.1873312809330119,11.23386266444744,578531689414.5643,5149891063253.626,487253809198.0115
2025-06-18,2.05439669762912,17.753151179019255,1001012616523.604,5638506687796.388,487253809198.0115
2025-06-19,0.5338381134970216,16.74317082078015,260114654296.50415,1553556713246.1714,487253809198.0115
2025-06-20,0.8073753367029692,23.829771772818987,393396708261.0488,1650862257563.7502,487253809198.0115
2025-06-21,2.2696086381366056,34.554352935260525,1105875454320.7722,3200394047003.8335,487253809198.0115
2025-06-22,1.5158524059589202,24.40633214620211,738604858985.4543,3026283730635.819,487253809198.0115
2025-06-23,0.5357900717239136,13.93944014595792,261065753377.95267,1872856805182.7751,487253809198.0115
2025-06-24,3.045368653101185,37.40295831362563,1483867476635.77,3967246291572.631,487253809198.0115
2025-06-25,1.3895125720638404,17.255664985625025,677045293666.6327,3923611719575.2866,487253809198.0115
2025-06-26,0.8452885953732497,12.162242644774162,411870087967.25256,3386464980159.0967,487253809198.0115
2025-06-27,0.2974753081680263,7.705846609158792,144945977047.22314,1880987053063.6755,487253809198.0115
2025-06-28,1.2953777555635142,20.677816115869064,631177745748.6929,3052439107746.487,487253809198.0115
2025-06-29,1.3825272375656081,18.02364057308227,673641662823.8467,3737544921029.489,487253809198.0115
2025-06-30,0.6410307952809319,13.701948331536665,312344696813.86475,2279564112024.611,487253809198.0115
2025-07-01,0.4326301128462412,6.983591270039499,210800670458.0966,3018513860661.612,487253809198.0115
2025-07-02,3.128446138949332,28.35680229774804,1524347298073.8735,5375596592549.964,487253809198.0115
2025-07-03,1.8958351853939797,13.51577829821529,923752915694.8348,6834626133345.301,487253809198.0115
2025-07-04,5.316922366541784,24.363332173221846,2590690676307.5903,10633564644967.008,487253809198.0115
2025-07-05,0.9386580051240552,9.75387709873729,457364688530.90247,4689055274134.136,487253809198.0115
2025-07-06,2.2190820918010434,18.908251565546074,1081256202153.1499,5718435670294.209,487253809198.0115
2025-07-07,3.249099220934884,31.866294611947012,1583135971862.8137,4968057915554.698,487253809198.0115
2025-07-08,3.646582614037423,29.27978687562107,1776811269244.9766,6068388669606.01,487253809198.0115
2025-07-09,0.5298509112849759,6.150002709413828,258171874830.64212,4197914814500.1245,487253809198.0115
2025-07-10,3.0376153304007136,37.39179854407487,1480089640616.024,3958326954696.7544,487253809198.0115
2025-07-11,0.7979050896949423,13.478287204458503,388782294332.3417,2884508160678.8716,487253809198.0115
2025-07-12,0.540257063145619,11.430639515946552,263242311963.8335,2302953492642.2256,487253809198.0115
2025-07-13,1.671294654751245,16.70726223409129,814344686819.8196,4874195876079.227,487253809198.0115
2025-07-14,1.990935412588717,18.166387275237863,970090863651.067,5340031834361.326,487253809198.0115
2025-07-15,1.2938116078558202,19.54479997104636,630414634312.3523,3225485219834.676,487253809198.0115
2025-07-16,0.01435122838822681,0.34689247889469366,6992690698.834152,2015809256261.4849,487253809198.0115
2025-07-17,0.43681951209128006,6.477394370245265,212841971198.49304,3285919600267.1953,487253809198.0115
2025-07-18,7.025215754418924,31.633064575681964,3423063136778.5024,10821155593663.205,487253809198.0115
2025-07-19,1.1519680889619495,10.558631789216472,561300839421.2637,5316037632778.5205,487253809198.0115
2025-07-20,0.0,0.0,0.0,229706911547.41898,487253809198.0115
2025-07-21,0.0,0.0,0.0,141050803700.40817,487253809198.0115
2025-07-22,0.9196089804400427,14.083677223923734,448082978692.1104,3181576597985.0664,487253809198.0115
2025-07-23,11.106043369569406,46.27064217360004,5411461936941.012,11695238455170.07,487253809198.0115
2025-07-24,15.039614037360431,61.00607597690724,7328109228571.755,12012097338215.426,487253809198.0115
2025-07-25,5.179303633453621,43.546142511548005,2523635424393.3784,5795313382176.47,487253809198.0115
2025-07-26,6.026203316952219,60.74159921630111,2936290521186.66,4834068511648.032,487253809198.0115
2025-07-27,0.00010847034116834569,0.0050959542221747055,52852586.91928432,1037147992603.619,487253809198.0115
2025-07-28,6.894631712673462,65.46588238585495,3359435565017.554,5131582196077.478,487253809198.0115
2025-07-29,0.3391418254631815,12.336767434201853,165248146315.30234,1339476870230.8225,487253809198.0115
2025-07-30,3.2847006372924663,19.58599456800127,1600482897595.8901,8171568168464.053,487253809198.0115
2025-07-31,2.4402905483180124,38.73070188492859,1189040865217.8557,3070021474825.25,487253809198.0115
2025-08-01,0.13134914508857054,4.383796409222007,64000371279.30828,1459930281996.5227,487253809198.0115
2025-08-02,2.279180146984161,19.980233466046254,1110539208466.516,5558189349257.253,487253809198.0115
2025-08-03,8.916723748217196,36.89755519025863,4344707611885.1997,11775055527343.588,487253809198.0115
2025-08-04,1.218599980248592,8.233241342721046,593767482264.748,7211831374160.967,487253809198.0115
2025-08-05,0.20915407800209943,2.469744589464363,101911121215.82097,4126383013472.7983,487253809198.0115
2025-08-06,0.9527843238997836,6.429522207991596,464247791164.32153,7220564392596.438,487253809198.0115
2025-08-07,1.7147467477040435,7.505153329178215,835516884628.6967,11132575818010.402,487253809198.0115
2025-08-08,0.2436866134686517,3.5661892521705103,118737230663.16399,3329526905811.1895,487253809198.0115
2025-08-09,0.4534540162239996,8.863864976725973,220947196701.2807,2492673312166.0376,487253809198.0115
2025-08-10,1.0654663925658057,23.69868717131579,519152558350.1527,2190638471225.191,487253809198.0115
2025-08-11,1.1400098837036619,12.729951761207332,555474158357.9913,4363521313966.9365,487253809198.0115
2025-08-12,1.4401235071774405,30.36204553330818,701705664587.8077,2311127765808.839,487253809198.0115
2025-08-13,0.8284856088755398,44.235672809031975,403682768790.34064,912572914925.6147,487253809198.0115
2025-08-14,0.6238128561940421,27.472580458849638,303955190407.2384,1106394759176.4226,487253809198.0115
2025-08-15,0.7631595782794004,17.496325929140806,371852411542.5859,2125317126856.0522,487253809198.0115
2025-08-16,2.3555657257758593,24.108985200189988,1147758372700.566,4760707940089.992,487253809198.0115
2025-08-17,1.8743534370593025,26.641743745911246,913285851990.5304,3428025810550.385,487253809198.0115
2025-08-18,9.864491842973901,62.269160965313176,4806511226291.746,7718927237463.817,487253809198.0115
2025-08-19,3.1410518220578814,30.725449522185816,1530489465186.0571,4981178433470.736,487253809198.0115
2025-08-20,5.727066136086995,30.241101329796205,2790534790337.325,9227622896087.596,487253809198.0115
2025-08-21,0.2547170663029966,4.255686849489414,124111860823.87755,2916376726327.224,487253809198.0115
2025-08-22,2.0548213616290796,16.08292925005367,1001219535675.2136,6225355593551.917,487253809198.0115
2025-08-23,0.8029899568395901,12.991810585443922,391259915217.8371,3011588820854.626,487253809198.0115
2025-08-24,0.0356600293227814,1.5851301055667881,17375485123.638023,1096155139733.7914,487253809198.0115
2025-08-25,3.655072280881297,23.774314651952636,1780947891753.476,7491058807902.179,487253809198.0115
2025-08-26,12.754886527973694,33.34636876768906,6214867046643.581,18637312775913.016,487253809198.0115
2025-08-27,9.703036803490818,34.27151243056152,4727841643289.398,13795252406407.834,487253809198.0115
2025-08-28,2.430215982857776,22.114611158814174,1184131994821.3408,5354523244010.935,487253809198.0115
2025-08-29,0.29653331624867835,10.93214209922996,144486987896.2871,1321671330145.4846,487253809198.0115
2025-08-30,0.1325035903779219,6.029289219923833,64562879144.05543,1070820735066.198,487253809198.0115
2025-08-31,0.7202480533550802,33.64212794242092,350943607564.71545,1043167091467.4645,487253809198.0115
2025-09-01,1.2809291586675757,16.220664349278167,624137611873.5803,3847793150971.372,487253809198.0115
2025-09-02,2.5877522947543024,33.89145722477383,1260892162879.9292,3720383442108.9683,487253809198.0115
2025-09-03,0.0013271111056697437,0.03366576072247757,646639941.4665674,1920764383722.4395,487253809198.0115
2025-09-04,2.841235957464756,14.799026974259895,1384403043105.0618,9354689639480.816,487253809198.0115
2025-09-05,0.27523415264980355,9.105768762339864,134108889300.00375,1472790412322.5557,487253809198.0115
